CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,Segment,AOV,Lifespan_Score,CLV
12346,326,1,77183.6,1,1,5,Lost,77183.6,39,8247.014794520548
12347,2,7,4310.0,5,5,5,Champions,615.7142857142857,363,4286.3835616438355
12348,75,4,1437.24,2,4,4,Loyal Customers,359.31,290,1141.916712328767
12349,19,1,1457.55,4,1,4,Lost,1457.55,346,1381.6775342465753
12350,310,1,294.40000000000003,1,1,2,Lost,294.40000000000003,55,44.36164383561644
12352,36,7,1385.74,3,5,4,Loyal Customers,197.96285714285713,329,1249.0642739726027
12353,204,1,89.0,1,1,1,Lost,89.0,161,39.25753424657535
12354,232,1,1079.4,1,1,4,Lost,1079.4,133,393.3156164383562
12355,214,1,459.4,1,1,2,Lost,459.4,151,190.0531506849315
12356,23,3,2487.43,4,3,5,Loyal Customers,829.1433333333333,342,2330.6878356164384
12357,33,1,6207.67,4,1,5,Lost,6207.67,332,5646.428602739727
12358,2,2,928.06,5,2,4,Lost,464.03,363,922.9747397260273
12359,58,4,6310.03,3,4,5,Loyal Customers,1577.5075,307,5307.340301369863
12360,52,3,2302.06,3,3,5,Loyal Customers,767.3533333333334,313,1974.0952876712329
12361,287,1,174.9,1,1,1,Lost,174.9,78,37.37589041095891
12362,3,10,4737.2300000000005,5,5,5,Champions,473.72300000000007,362,4698.2938630137
12363,110,2,552.0,2,2,3,At Risk,276.0,255,385.64383561643837
12364,8,4,1208.1,5,4,4,Champions,302.025,357,1181.6210958904107
12365,291,1,320.69,1,1,2,Lost,320.69,74,65.01660273972603
12367,4,1,150.9,5,1,1,Lost,150.9,361,149.24630136986303
12370,51,4,3421.94,3,4,5,Loyal Customers,855.485,314,2943.8059178082194
12371,60,1,1527.96,3,1,4,Lost,1527.96,305,1276.7884931506849
12372,72,3,1196.04,3,3,4,Loyal Customers,398.68,293,960.1088219178082
12373,311,1,324.6,1,1,2,Lost,324.6,54,48.023013698630145
12374,25,1,622.9300000000001,4,1,3,Lost,622.9300000000001,340,580.2635616438356
12375,11,2,377.5,5,2,2,Lost,188.75,354,366.1232876712329
12377,315,2,1548.12,1,2,4,At Risk,774.06,50,212.07123287671232
12378,130,1,4008.62,2,1,5,Lost,4008.62,235,2580.892328767123
12379,82,2,777.24,2,2,3,At Risk,388.62,283,602.6271780821918
12380,22,4,2427.81,4,4,5,Champions,606.9525,343,2281.4762465753424
12381,5,3,1474.81,5,3,4,Loyal Customers,491.6033333333333,360,1454.6071232876711
12383,185,5,1628.56,1,4,4,Loyal Customers,325.712,180,803.1254794520547
12384,29,2,425.27,4,2,2,Lost,212.635,336,391.4814246575342
12386,338,2,401.9,1,2,2,At Risk,200.95,27,29.72958904109589
12388,16,6,2780.6600000000003,4,5,5,Champions,463.4433333333334,349,2658.7680547945206
12390,80,1,504.84,2,1,3,Lost,504.84,285,394.19013698630135
12391,22,1,439.66,4,1,2,Lost,439.66,343,413.15994520547946
12393,72,4,1582.6,3,4,4,Loyal Customers,395.65,293,1270.4158904109588
12394,64,2,1080.48,3,2,4,Lost,540.24,301,891.0259726027398
12395,19,12,2682.63,4,5,5,Champions,223.5525,346,2542.9862465753426
12397,36,2,2214.9,3,2,5,Lost,1107.45,329,1996.444109589041
12398,46,1,1435.66,3,1,4,Lost,1435.66,319,1254.727506849315
12399,119,4,1033.65,2,4,4,Loyal Customers,258.4125,246,696.6517808219179
12401,303,1,69.3,1,1,1,Lost,69.3,62,11.771506849315069
12402,323,1,195.6,1,1,1,Lost,195.6,42,22.507397260273972
12403,50,1,391.7,3,1,2,Lost,391.7,315,338.04246575342466
12405,149,1,1390.39,2,1,4,Lost,1390.39,216,822.8061369863015
12406,22,2,3415.3,4,2,5,Lost,1707.65,343,3209.4463013698632
12407,50,5,1507.12,3,4,4,Loyal Customers,301.424,315,1300.665205479452
12408,33,5,2618.55,4,4,5,Champions,523.71,332,2381.804383561644
12409,79,3,11072.67,2,3,5,Loyal Customers,3690.89,286,8676.119506849314
12410,309,2,533.33,1,2,3,At Risk,266.665,56,81.82597260273974
12412,75,3,1142.88,2,3,4,Loyal Customers,380.96000000000004,290,908.0416438356165
12413,67,3,686.1,3,3,3,Loyal Customers,228.70000000000002,298,560.1583561643836
12414,217,3,442.41,1,3,2,Loyal Customers,147.47,148,179.38816438356164
12415,24,20,124564.53,4,5,5,Champions,6228.2265,341,116373.98556164384
12417,3,9,3226.1,5,5,5,Champions,358.4555555555555,362,3199.5841095890405
12418,113,1,668.58,2,1,3,Lost,668.58,252,461.59495890410966
12420,64,1,600.39,3,1,3,Lost,600.39,301,495.1161369863014
12421,16,4,639.04,4,4,3,Champions,159.76,349,611.0272876712328
12422,96,3,683.5600000000001,2,3,3,Loyal Customers,227.85333333333335,269,503.77435616438356
12423,1,8,1634.31,5,5,4,Champions,204.28875,364,1629.8324383561644
12424,163,2,1760.96,2,2,4,At Risk,880.48,202,974.5586849315068
12425,78,1,777.2,2,1,3,Lost,777.2,287,611.1134246575343
12426,195,1,510.73,1,1,3,Lost,510.73,170,237.87424657534245
12427,22,3,699.8000000000001,4,3,3,Loyal Customers,233.26666666666668,343,657.6202739726028
12428,26,8,6405.26,4,5,5,Champions,800.6575,339,5948.994904109589
12429,9,4,3388.4,5,4,5,Champions,847.1,356,3304.8504109589044
12430,43,1,216.4,3,1,1,Lost,216.4,322,190.90630136986303
12431,36,15,6314.95,3,5,5,Loyal Customers,420.99666666666667,329,5692.105616438355
12432,43,4,4359.32,3,4,5,Loyal Customers,1089.83,322,3845.7562739726027
12433,1,7,13375.87,5,5,5,Champions,1910.8385714285716,364,13339.223780821918
12434,85,2,806.14,2,2,3,At Risk,403.07,280,618.4087671232876
12435,80,2,7829.89,2,2,5,At Risk,3914.945,285,6113.749726027398
12436,100,1,429.01,2,1,2,Lost,429.01,265,311.47301369863015
12437,2,18,4447.41,5,5,5,Champions,247.07833333333332,363,4423.040630136987
12438,14,2,2466.85,5,2,5,Lost,1233.425,351,2372.231095890411
12441,367,1,155.55,1,1,1,Lost,155.55,-2,-0.8523287671232878
12442,3,1,144.06,5,1,1,Lost,144.06,362,142.87594520547947
12444,21,5,4085.46,4,4,5,Champions,817.092,344,3850.4061369863016
12445,22,1,77.4,4,1,1,Lost,77.4,343,72.73479452054795
12446,58,1,1002.31,3,1,4,Lost,1002.31,307,843.0388219178081
12447,243,1,431.49,1,1,2,Lost,431.49,122,144.22405479452055
12448,44,1,365.45,3,1,2,Lost,365.45,321,321.3957534246575
12449,22,4,3596.29,4,4,5,Champions,899.0725,343,3379.5273150684934
12450,156,2,197.88,2,2,1,At Risk,98.94,209,113.3066301369863
12451,11,5,8995.52,5,4,5,Champions,1799.104,354,8724.422136986303
12452,17,1,348.57,4,1,2,Lost,348.57,348,332.3352328767123
12453,134,1,707.09,2,1,3,Lost,707.09,231,447.5007945205479
12454,56,1,3528.34,3,1,5,Lost,3528.34,309,2987.0056438356164
12455,73,5,2339.86,2,4,5,Loyal Customers,467.97200000000004,292,1871.8880000000001
