Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
326,1,77183.6,1,1,5,115,Lost
2,7,4310.0,5,5,5,555,Champions
75,4,1437.24,2,4,4,244,Loyal Customers
19,1,1457.55,4,1,4,414,Potential Loyalists
310,1,294.40000000000003,1,1,2,112,Lost
36,7,1385.74,3,5,4,354,Loyal Customers
204,1,89.0,1,1,1,111,Lost
232,1,1079.4,1,1,4,114,Lost
214,1,459.40000000000003,1,1,2,112,Lost
23,3,2487.43,4,3,5,435,Need Attention
33,1,6207.67,4,1,5,415,Potential Loyalists
2,2,928.0600000000001,5,2,4,524,Potential Loyalists
58,4,6310.03,3,4,5,345,Loyal Customers
52,3,2302.06,3,3,5,335,Need Attention
287,1,174.9,1,1,1,111,Lost
3,10,4737.2300000000005,5,5,5,555,Champions
110,2,552.0,2,2,3,223,Lost
8,4,1208.1,5,4,4,544,Champions
291,1,320.69,1,1,2,112,Lost
4,1,150.9,5,1,1,511,Potential Loyalists
51,4,3421.94,3,4,5,345,Loyal Customers
60,1,1527.96,3,1,4,314,Need Attention
72,3,1196.04,3,3,4,334,Need Attention
311,1,324.6,1,1,2,112,Lost
25,1,622.9300000000001,4,1,3,413,Potential Loyalists
11,2,377.5,5,2,2,522,Potential Loyalists
315,2,1548.1200000000001,1,2,4,124,Lost
130,1,4008.62,2,1,5,215,Lost
82,2,777.24,2,2,3,223,Lost
22,4,2427.81,4,4,5,445,Champions
5,3,1474.81,5,3,4,534,Need Attention
185,5,1628.56,1,4,4,144,Loyal Customers
29,2,425.27000000000004,4,2,2,422,Potential Loyalists
338,2,401.9,1,2,2,122,Lost
16,6,2780.6600000000003,4,5,5,455,Champions
80,1,504.84000000000003,2,1,3,213,Lost
22,1,439.66,4,1,2,412,Potential Loyalists
72,4,1582.6000000000001,3,4,4,344,Loyal Customers
64,2,1080.48,3,2,4,324,Need Attention
19,12,2682.63,4,5,5,455,Champions
36,2,2214.9,3,2,5,325,Need Attention
46,1,1435.66,3,1,4,314,Need Attention
119,4,1033.65,2,4,4,244,Loyal Customers
303,1,69.3,1,1,1,111,Lost
323,1,195.6,1,1,1,111,Lost
50,1,391.7,3,1,2,312,Need Attention
149,1,1390.39,2,1,4,214,Lost
22,2,3415.3,4,2,5,425,Potential Loyalists
50,5,1507.12,3,4,4,344,Loyal Customers
33,5,2618.55,4,4,5,445,Champions
79,3,11072.67,2,3,5,235,At Risk
309,2,533.33,1,2,3,123,Lost
75,3,1142.88,2,3,4,234,At Risk
67,3,686.1,3,3,3,333,Need Attention
217,3,442.41,1,3,2,132,At Risk
24,20,124564.53,4,5,5,455,Champions
3,9,3226.1,5,5,5,555,Champions
113,1,668.58,2,1,3,213,Lost
64,1,600.39,3,1,3,313,Need Attention
16,4,639.04,4,4,3,443,Champions
96,3,683.5600000000001,2,3,3,233,At Risk
1,8,1634.31,5,5,4,554,Champions
163,2,1760.96,2,2,4,224,Lost
78,1,777.2,2,1,3,213,Lost
195,1,510.73,1,1,3,113,Lost
22,3,699.8000000000001,4,3,3,433,Need Attention
26,8,6405.26,4,5,5,455,Champions
9,4,3388.4,5,4,5,545,Champions
43,1,216.4,3,1,1,311,Need Attention
36,15,6314.95,3,5,5,355,Loyal Customers
43,4,4359.32,3,4,5,345,Loyal Customers
1,7,13375.87,5,5,5,555,Champions
85,2,806.14,2,2,3,223,Lost
80,2,7829.89,2,2,5,225,Lost
100,1,429.01,2,1,2,212,Lost
2,18,4447.41,5,5,5,555,Champions
14,2,2466.85,5,2,5,525,Potential Loyalists
367,1,155.55,1,1,1,111,Lost
3,1,144.06,5,1,1,511,Potential Loyalists
21,5,4085.46,4,4,5,445,Champions
22,1,77.4,4,1,1,411,Potential Loyalists
58,1,1002.3100000000001,3,1,4,314,Need Attention
243,1,431.49,1,1,2,112,Lost
44,1,365.45,3,1,2,312,Need Attention
22,4,3596.29,4,4,5,445,Champions
156,2,197.88,2,2,1,221,Lost
11,5,8995.52,5,4,5,545,Champions
17,1,348.57,4,1,2,412,Potential Loyalists
134,1,707.09,2,1,3,213,Lost
56,1,3528.34,3,1,5,315,Need Attention
73,5,2339.86,2,4,5,245,Loyal Customers
44,3,2581.04,3,3,5,335,Need Attention
66,6,2043.23,3,5,5,355,Loyal Customers
71,2,787.4,3,2,3,323,Need Attention
155,1,626.88,2,1,3,213,Lost
19,2,937.59,4,2,4,424,Potential Loyalists
53,4,1200.78,3,4,4,344,Loyal Customers
10,8,957.05,5,5,4,554,Champions
17,2,682.19,4,2,3,423,Potential Loyalists
188,2,657.5400000000001,1,2,3,123,Lost
2,27,17388.65,5,5,5,555,Champions
32,7,6068.11,4,5,5,455,Champions
54,3,2585.73,3,3,5,335,Need Attention
17,18,6694.09,4,5,5,455,Champions
54,1,669.38,3,1,3,313,Need Attention
16,11,5898.42,4,5,5,455,Champions
23,6,13219.74,4,5,5,455,Champions
4,1,545.99,5,1,3,513,Potential Loyalists
11,1,473.2,5,1,2,512,Potential Loyalists
28,4,2885.63,4,4,5,445,Champions
23,10,5003.82,4,5,5,455,Champions
17,8,1910.98,4,5,4,454,Champions
35,4,3939.32,3,4,5,345,Loyal Customers
10,3,1244.66,5,3,4,534,Need Attention
336,1,298.93,1,1,2,112,Lost
5,10,4859.93,5,5,5,555,Champions
39,1,424.40000000000003,3,1,2,312,Need Attention
63,2,227.21,3,2,1,321,Need Attention
166,2,379.74,2,2,2,222,Lost
16,7,1084.1,4,5,4,454,Champions
82,1,953.1,2,1,4,214,Lost
21,3,349.70000000000005,4,3,2,432,Need Attention
23,11,4059.8199999999997,4,5,5,455,Champions
337,1,2025.39,1,1,4,114,Lost
96,5,2995.87,2,4,5,245,Loyal Customers
18,2,428.04999999999995,4,2,2,422,Potential Loyalists
233,1,73.5,1,1,1,111,Lost
134,3,1052.81,2,3,4,234,At Risk
26,2,397.88,4,2,2,422,Potential Loyalists
284,1,158.5,1,1,1,111,Lost
143,2,814.5699999999999,2,2,3,223,Lost
66,2,132.18,3,2,1,321,Need Attention
113,1,558.29,2,1,3,213,Lost
267,1,1017.6800000000001,1,1,4,114,Lost
353,1,278.7,1,1,2,112,Lost
78,2,1186.06,2,2,4,224,Lost
28,4,2301.6,4,4,5,445,Champions
1,5,1840.89,5,4,4,544,Champions
64,1,276.84000000000003,3,1,2,312,Need Attention
79,5,2346.26,2,4,5,245,Loyal Customers
143,1,545.68,2,1,3,213,Lost
39,2,156.72,3,2,1,321,Need Attention
19,11,1699.77,4,5,4,454,Champions
