Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,AOV,Purchase_Frequency,Lifespan_Score,CLV
326,1,77183.6,1,1,5,115,Lost,77183.6,1,39,8247.014794520548
2,7,4310.0,5,5,5,555,Champions,615.7142857142857,7,363,4286.3835616438355
75,4,1437.24,2,4,4,244,Loyal Customers,359.31,4,290,1141.916712328767
19,1,1457.55,4,1,4,414,Potential Loyalists,1457.55,1,346,1381.6775342465753
310,1,294.40000000000003,1,1,2,112,Lost,294.40000000000003,1,55,44.36164383561644
36,7,1385.74,3,5,4,354,Loyal Customers,197.96285714285713,7,329,1249.0642739726027
204,1,89.0,1,1,1,111,Lost,89.0,1,161,39.25753424657535
232,1,1079.4,1,1,4,114,Lost,1079.4,1,133,393.3156164383562
214,1,459.4,1,1,2,112,Lost,459.4,1,151,190.0531506849315
23,3,2487.43,4,3,5,435,Need Attention,829.1433333333333,3,342,2330.6878356164384
33,1,6207.67,4,1,5,415,Potential Loyalists,6207.67,1,332,5646.428602739727
2,2,928.06,5,2,4,524,Potential Loyalists,464.03,2,363,922.9747397260273
58,4,6310.03,3,4,5,345,Loyal Customers,1577.5075,4,307,5307.340301369863
52,3,2302.06,3,3,5,335,Need Attention,767.3533333333334,3,313,1974.0952876712329
287,1,174.9,1,1,1,111,Lost,174.9,1,78,37.37589041095891
3,10,4737.2300000000005,5,5,5,555,Champions,473.72300000000007,10,362,4698.2938630137
110,2,552.0,2,2,3,223,Lost,276.0,2,255,385.64383561643837
8,4,1208.1,5,4,4,544,Champions,302.025,4,357,1181.6210958904107
291,1,320.69,1,1,2,112,Lost,320.69,1,74,65.01660273972603
4,1,150.9,5,1,1,511,Potential Loyalists,150.9,1,361,149.24630136986303
51,4,3421.94,3,4,5,345,Loyal Customers,855.485,4,314,2943.8059178082194
60,1,1527.96,3,1,4,314,Need Attention,1527.96,1,305,1276.7884931506849
72,3,1196.04,3,3,4,334,Need Attention,398.68,3,293,960.1088219178082
311,1,324.6,1,1,2,112,Lost,324.6,1,54,48.023013698630145
25,1,622.9300000000001,4,1,3,413,Potential Loyalists,622.9300000000001,1,340,580.2635616438356
11,2,377.5,5,2,2,522,Potential Loyalists,188.75,2,354,366.1232876712329
315,2,1548.12,1,2,4,124,Lost,774.06,2,50,212.07123287671232
130,1,4008.62,2,1,5,215,Lost,4008.62,1,235,2580.892328767123
82,2,777.24,2,2,3,223,Lost,388.62,2,283,602.6271780821918
22,4,2427.81,4,4,5,445,Champions,606.9525,4,343,2281.4762465753424
5,3,1474.81,5,3,4,534,Need Attention,491.6033333333333,3,360,1454.6071232876711
185,5,1628.56,1,4,4,144,Loyal Customers,325.712,5,180,803.1254794520547
29,2,425.27,4,2,2,422,Potential Loyalists,212.635,2,336,391.4814246575342
338,2,401.9,1,2,2,122,Lost,200.95,2,27,29.72958904109589
16,6,2780.6600000000003,4,5,5,455,Champions,463.4433333333334,6,349,2658.7680547945206
80,1,504.84,2,1,3,213,Lost,504.84,1,285,394.19013698630135
22,1,439.66,4,1,2,412,Potential Loyalists,439.66,1,343,413.15994520547946
72,4,1582.6,3,4,4,344,Loyal Customers,395.65,4,293,1270.4158904109588
64,2,1080.48,3,2,4,324,Need Attention,540.24,2,301,891.0259726027398
19,12,2682.63,4,5,5,455,Champions,223.5525,12,346,2542.9862465753426
36,2,2214.9,3,2,5,325,Need Attention,1107.45,2,329,1996.444109589041
46,1,1435.66,3,1,4,314,Need Attention,1435.66,1,319,1254.727506849315
119,4,1033.65,2,4,4,244,Loyal Customers,258.4125,4,246,696.6517808219179
303,1,69.3,1,1,1,111,Lost,69.3,1,62,11.771506849315069
323,1,195.6,1,1,1,111,Lost,195.6,1,42,22.507397260273972
50,1,391.7,3,1,2,312,Need Attention,391.7,1,315,338.04246575342466
149,1,1390.39,2,1,4,214,Lost,1390.39,1,216,822.8061369863015
22,2,3415.3,4,2,5,425,Potential Loyalists,1707.65,2,343,3209.4463013698632
50,5,1507.12,3,4,4,344,Loyal Customers,301.424,5,315,1300.665205479452
33,5,2618.55,4,4,5,445,Champions,523.71,5,332,2381.804383561644
79,3,11072.67,2,3,5,235,At Risk,3690.89,3,286,8676.119506849314
309,2,533.33,1,2,3,123,Lost,266.665,2,56,81.82597260273974
75,3,1142.88,2,3,4,234,At Risk,380.96000000000004,3,290,908.0416438356165
67,3,686.1,3,3,3,333,Need Attention,228.70000000000002,3,298,560.1583561643836
217,3,442.41,1,3,2,132,At Risk,147.47,3,148,179.38816438356164
24,20,124564.53,4,5,5,455,Champions,6228.2265,20,341,116373.98556164384
3,9,3226.1,5,5,5,555,Champions,358.4555555555555,9,362,3199.5841095890405
113,1,668.58,2,1,3,213,Lost,668.58,1,252,461.59495890410966
64,1,600.39,3,1,3,313,Need Attention,600.39,1,301,495.1161369863014
16,4,639.04,4,4,3,443,Champions,159.76,4,349,611.0272876712328
96,3,683.5600000000001,2,3,3,233,At Risk,227.85333333333335,3,269,503.77435616438356
1,8,1634.31,5,5,4,554,Champions,204.28875,8,364,1629.8324383561644
163,2,1760.96,2,2,4,224,Lost,880.48,2,202,974.5586849315068
78,1,777.2,2,1,3,213,Lost,777.2,1,287,611.1134246575343
195,1,510.73,1,1,3,113,Lost,510.73,1,170,237.87424657534245
22,3,699.8000000000001,4,3,3,433,Need Attention,233.26666666666668,3,343,657.6202739726028
26,8,6405.26,4,5,5,455,Champions,800.6575,8,339,5948.994904109589
9,4,3388.4,5,4,5,545,Champions,847.1,4,356,3304.8504109589044
43,1,216.4,3,1,1,311,Need Attention,216.4,1,322,190.90630136986303
36,15,6314.95,3,5,5,355,Loyal Customers,420.99666666666667,15,329,5692.105616438355
43,4,4359.32,3,4,5,345,Loyal Customers,1089.83,4,322,3845.7562739726027
1,7,13375.87,5,5,5,555,Champions,1910.8385714285716,7,364,13339.223780821918
85,2,806.14,2,2,3,223,Lost,403.07,2,280,618.4087671232876
80,2,7829.89,2,2,5,225,Lost,3914.945,2,285,6113.749726027398
100,1,429.01,2,1,2,212,Lost,429.01,1,265,311.47301369863015
2,18,4447.41,5,5,5,555,Champions,247.07833333333332,18,363,4423.040630136987
14,2,2466.85,5,2,5,525,Potential Loyalists,1233.425,2,351,2372.231095890411
367,1,155.55,1,1,1,111,Lost,155.55,1,-2,-0.8523287671232878
3,1,144.06,5,1,1,511,Potential Loyalists,144.06,1,362,142.87594520547947
21,5,4085.46,4,4,5,445,Champions,817.092,5,344,3850.4061369863016
22,1,77.4,4,1,1,411,Potential Loyalists,77.4,1,343,72.73479452054795
58,1,1002.31,3,1,4,314,Need Attention,1002.31,1,307,843.0388219178081
243,1,431.49,1,1,2,112,Lost,431.49,1,122,144.22405479452055
44,1,365.45,3,1,2,312,Need Attention,365.45,1,321,321.3957534246575
22,4,3596.29,4,4,5,445,Champions,899.0725,4,343,3379.5273150684934
156,2,197.88,2,2,1,221,Lost,98.94,2,209,113.3066301369863
11,5,8995.52,5,4,5,545,Champions,1799.104,5,354,8724.422136986303
17,1,348.57,4,1,2,412,Potential Loyalists,348.57,1,348,332.3352328767123
134,1,707.09,2,1,3,213,Lost,707.09,1,231,447.5007945205479
56,1,3528.34,3,1,5,315,Need Attention,3528.34,1,309,2987.0056438356164
73,5,2339.86,2,4,5,245,Loyal Customers,467.97200000000004,5,292,1871.8880000000001
44,3,2581.04,3,3,5,335,Need Attention,860.3466666666667,3,321,2269.9009315068492
66,6,2043.23,3,5,5,355,Loyal Customers,340.53833333333336,6,299,1673.7692328767123
71,2,787.4,3,2,3,323,Need Attention,393.7,2,294,634.2345205479452
155,1,626.88,2,1,3,213,Lost,626.88,1,210,360.6706849315068
19,2,937.59,4,2,4,424,Potential Loyalists,468.795,2,346,888.7839452054794
53,4,1200.78,3,4,4,344,Loyal Customers,300.195,4,312,1026.4201643835618
10,8,957.05,5,5,4,554,Champions,119.63125,8,355,930.8294520547945
17,2,682.19,4,2,3,423,Potential Loyalists,341.095,2,348,650.4167671232877
188,2,657.5400000000001,1,2,3,123,Lost,328.77000000000004,2,177,318.86186301369867
2,27,17388.65,5,5,5,555,Champions,644.0240740740742,27,363,17293.3697260274
32,7,6068.11,4,5,5,455,Champions,866.8728571428571,7,333,5536.111315068493
54,3,2585.73,3,3,5,335,Need Attention,861.91,3,311,2203.1836438356167
17,18,6694.09,4,5,5,455,Champions,371.8938888888889,18,348,6382.310465753425
54,1,669.38,3,1,3,313,Need Attention,669.38,1,311,570.3484383561644
16,11,5898.42,4,5,5,455,Champions,536.22,11,349,5639.859123287671
